,waist,hips,bra size,bust,height,size,body-shape,Dress-Style
220,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
221,28.0,38.0,32.0,35,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
222,37.0,47.0,40.0,45,6.0,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
223,36.0,47.0,38.0,39,5.03,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
224,28.0,36.0,36.0,36,5.04,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
225,30.0,39.0,36.0,36,5.07,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
226,42.0,53.0,40.0,52,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
227,29.0,35.0,34.0,38,5.07,4,,
228,29.0,38.0,32.0,34,5.02,8,,
229,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
230,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
231,31.0,42.0,38.0,39,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
232,40.0,50.0,38.0,44,5.06,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
233,31.0,41.0,34.0,37,5.04,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
234,36.0,45.0,40.0,43,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
235,34.0,43.0,36.0,40,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
236,30.0,38.0,32.0,39,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
237,29.0,30.0,32.0,35,5.01,4,Triangle,"ruffled tops or  deep-V, scoop or boat neck dresses Wide-legged pants "
238,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
239,26.0,32.0,32.0,32,5.06,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
240,26.0,36.0,32.0,34,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
241,28.0,36.0,34.0,35,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
242,30.0,36.0,34.0,36,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
243,31.0,39.0,36.0,35,5.02,8,,
244,26.0,40.0,34.0,36,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
245,29.0,39.0,32.0,34,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
246,37.0,43.0,38.0,43,5.08,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
247,29.0,39.0,34.0,39,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
248,31.0,42.0,30.0,40,5.03,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
249,38.0,50.0,40.0,40,5.09,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
250,33.0,40.0,36.0,36,5.04,12,,
251,31.0,39.0,36.0,35,5.02,8,,
252,29.0,41.0,36.0,36,5.02,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
253,40.0,50.0,38.0,44,5.06,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
254,28.0,36.0,36.0,36,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
255,33.0,45.0,36.0,38,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
256,40.0,47.0,36.0,45,5.04,26,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
257,37.0,46.0,36.0,43,5.07,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
258,37.0,45.0,38.0,47,5.0,26,,
259,30.0,36.0,34.0,39,5.0,8,,
260,24.0,32.0,28.0,30,5.08,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
261,37.0,45.0,38.0,44,5.06,20,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
262,33.0,40.0,36.0,36,5.04,12,,
263,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
264,28.0,36.0,34.0,35,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
265,39.0,47.0,36.0,42,5.06,15,,
266,29.0,32.0,34.0,36,5.06,8,Triangle,"ruffled tops or  deep-V, scoop or boat neck dresses Wide-legged pants "
267,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
268,33.0,41.0,38.0,38,5.08,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
269,38.0,51.0,42.0,48,5.08,32,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
270,27.0,35.0,32.0,33,5.02,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
271,28.0,38.0,32.0,32,5.07,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
272,36.0,41.0,34.0,39,5.03,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
273,34.0,42.0,38.0,42,5.09,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
274,36.0,45.0,40.0,42,5.5,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
275,32.0,44.0,36.0,39,5.06,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
276,26.0,37.0,32.0,32,5.02,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
277,29.0,39.0,36.0,34,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
278,34.0,43.0,36.0,40,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
279,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
280,33.0,42.0,36.0,38,5.04,12,,
281,34.0,40.0,38.0,38,5.08,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
282,45.0,54.0,44.0,52,5.5,32,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
283,30.0,40.0,38.0,38,5.07,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
284,28.0,34.0,32.0,32,5.5,5,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
285,32.0,39.0,36.0,35,5.02,8,,
286,28.0,38.0,34.0,37,5.03,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
287,32.0,37.0,32.0,32,5.04,4,,
288,31.0,36.0,32.0,32,5.01,8,,
289,32.0,45.0,34.0,38,5.03,11,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
290,25.0,36.0,32.0,32,4.11,5,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
291,29.0,42.0,32.0,36,5.08,7,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
292,30.0,43.0,34.0,37,5.5,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
293,36.0,36.0,36.0,38,5.01,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
294,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
295,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
296,29.0,38.0,32.0,35,5.5,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
297,33.0,42.0,38.0,41,5.1,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
298,29.0,35.0,32.0,34,5.02,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
299,29.0,38.0,32.0,34,5.02,4,,
300,34.0,47.0,36.0,39,5.02,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
301,31.0,41.0,38.0,40,5.08,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
302,36.0,47.0,38.0,55,5.08,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
303,49.0,52.0,40.0,50,5.06,26,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
304,31.0,40.0,38.0,40,5.08,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
305,34.0,41.0,36.0,36,5.09,12,,
306,28.0,38.0,30.0,35,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
307,33.0,43.0,36.0,36,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
308,27.0,41.0,34.0,37,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
309,30.0,36.0,34.0,34,5.07,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
310,38.0,52.0,40.0,46,5.06,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
311,26.0,36.0,32.0,32,5.5,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
312,27.0,36.0,32.0,32,5.06,4,,
313,35.0,41.0,32.0,42,5.5,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
314,35.0,46.0,36.0,37,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
315,38.0,43.0,38.0,41,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
316,28.0,39.0,34.0,34,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
317,30.0,40.0,36.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
318,37.0,45.0,38.0,41,5.1,20,,
319,29.0,41.0,32.0,34,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
320,38.0,47.0,38.0,46,5.07,20,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
321,29.0,36.0,32.0,34,5.5,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
322,38.0,47.0,38.0,46,5.07,20,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
323,29.0,37.0,34.0,34,5.07,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
324,29.0,36.0,34.0,34,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
325,40.0,55.0,36.0,45,5.07,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
326,29.0,41.0,32.0,34,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
327,40.0,52.0,30.0,45,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
328,31.0,44.0,36.0,40,5.01,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
329,25.0,36.0,32.0,32,5.02,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
330,30.0,40.0,36.0,39,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
331,30.0,39.0,36.0,37,5.08,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
332,30.0,40.0,36.0,39,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
333,30.0,39.0,36.0,36,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
334,30.0,42.0,36.0,37,5.09,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
335,37.0,52.0,42.0,45,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
336,32.0,41.0,36.0,39,5.03,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
337,32.0,35.0,36.0,36,5.5,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
338,37.0,45.0,38.0,41,5.1,20,,
339,29.0,36.0,30.0,39,5.01,12,,
340,29.0,36.0,30.0,39,5.01,12,,
341,28.0,36.0,36.0,36,5.04,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
342,25.0,33.0,32.0,32,4.11,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
343,25.0,35.0,32.0,34,5.09,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
344,37.0,52.0,42.0,45,5.11,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
345,32.0,48.0,36.0,39,5.02,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
346,30.0,36.0,34.0,39,5.0,12,,
347,27.0,34.0,34.0,34,5.06,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
348,29.0,41.0,32.0,34,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
349,40.0,46.0,38.0,44,5.02,26,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
350,26.0,35.0,34.0,34,5.01,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
351,28.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
352,31.0,38.0,36.0,36,5.5,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
353,28.0,36.0,34.0,35,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
354,28.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
355,25.0,33.0,32.0,32,4.11,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
356,44.0,47.0,40.0,48,5.01,20,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
357,30.0,36.0,34.0,39,5.0,7,,
358,29.0,41.0,36.0,36,5.08,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
359,31.0,44.0,38.0,38,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
360,34.0,43.0,38.0,41,5.08,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
361,29.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
362,30.0,36.0,34.0,39,5.0,12,,
363,29.0,40.0,34.0,38,5.08,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
364,30.0,36.0,34.0,39,5.0,7,,
365,28.0,34.0,36.0,36,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
366,30.0,42.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
367,30.0,35.0,38.0,38,5.03,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
368,27.0,37.0,32.0,34,5.06,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
369,37.0,42.0,34.0,36,5.5,12,,
370,29.0,38.0,34.0,37,5.01,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
371,30.0,40.0,34.0,37,5.09,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
372,29.0,36.0,30.0,39,5.01,8,,
373,30.0,40.0,38.0,38,5.07,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
374,37.0,47.0,38.0,43,5.09,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
375,26.0,37.0,30.0,34,5.03,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
376,28.0,44.0,32.0,37,5.08,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
377,29.0,38.0,32.0,38,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
378,33.0,43.0,36.0,40,5.08,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
379,39.0,49.0,38.0,44,5.06,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
380,31.0,38.0,34.0,37,5.07,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
381,34.0,47.0,38.0,38,5.03,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
382,32.0,43.0,38.0,39,5.06,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
383,31.0,42.0,38.0,40,5.11,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
384,31.0,44.0,38.0,38,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
385,30.0,36.0,34.0,39,5.0,8,,
386,27.0,34.0,34.0,34,5.01,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
387,28.0,36.0,32.0,35,5.08,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
388,27.0,35.0,34.0,34,5.01,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
389,28.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
390,31.0,41.0,36.0,36,6.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
391,40.0,45.0,38.0,44,5.04,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
392,50.0,60.0,46.0,56,5.5,38,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
393,28.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
394,28.0,36.0,34.0,35,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
395,32.0,40.0,32.0,39,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
396,30.0,36.0,34.0,39,5.0,9,,
397,28.0,39.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
398,29.0,41.0,32.0,34,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
399,28.0,41.0,34.0,34,5.07,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
400,29.0,35.0,30.0,37,5.01,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
401,34.0,42.0,38.0,42,5.07,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
402,40.0,45.0,38.0,45,5.02,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
403,32.0,48.0,36.0,39,5.02,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
404,26.0,33.0,34.0,32,5.09,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
405,36.0,52.0,38.0,48,6.0,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
406,41.0,55.0,40.0,47,5.08,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
407,29.0,39.0,30.0,37,5.01,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
408,30.0,42.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
409,24.0,36.0,32.0,32,5.5,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
410,26.0,36.0,32.0,32,5.5,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
411,26.0,37.0,32.0,34,5.03,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
412,38.0,47.0,38.0,46,5.07,20,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
413,30.0,40.0,36.0,39,5.1,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
414,28.0,44.0,32.0,37,5.08,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
415,27.0,37.0,34.0,34,5.07,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
416,30.0,34.0,34.0,36,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
417,35.0,47.0,38.0,44,5.04,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
418,35.0,42.0,34.0,40,5.07,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
419,35.0,42.0,34.0,40,5.07,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
420,40.0,50.0,38.0,45,5.08,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
421,26.0,32.0,32.0,34,5.02,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
422,30.0,39.0,38.0,36,5.09,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
423,35.0,41.0,32.0,42,5.5,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
424,29.0,40.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
425,27.0,38.0,34.0,34,5.03,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
426,30.0,42.0,36.0,36,5.5,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
427,27.0,34.0,32.0,35,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
428,36.0,43.0,36.0,36,5.5,12,,
429,29.0,41.0,32.0,34,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
430,39.0,49.0,38.0,44,5.06,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
431,28.0,40.0,34.0,34,5.07,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
432,31.0,39.0,36.0,35,5.02,8,,
433,37.0,45.0,38.0,41,5.1,20,,
434,35.0,41.0,32.0,42,5.5,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
435,28.0,42.0,32.0,34,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
436,24.0,36.0,32.0,32,5.5,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
437,35.0,41.0,38.0,39,5.06,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
438,30.0,36.0,34.0,39,5.0,12,,
439,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
440,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
441,36.0,44.0,36.0,41,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
442,36.0,42.0,40.0,40,5.5,20,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
443,26.0,38.0,32.0,34,5.1,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
444,34.0,42.0,38.0,42,5.02,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
445,34.0,42.0,38.0,42,5.02,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
446,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
447,38.0,46.0,40.0,48,5.06,26,,
448,36.0,46.0,36.0,42,5.02,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
449,29.0,38.0,36.0,37,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
450,27.0,38.0,34.0,34,5.03,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
